k,image_id,cer_wiener,len_orig,len_wiener
0.01,0018789,0.0449,89,90
0.01,0018790,0.6757,37,22
0.01,0018791,0.5249,341,306
0.01,0018792,0.4373,311,305
0.01,0018793,0.0982,387,379
0.01,0018794,0.1067,178,190
0.01,0018795,0.7116,371,371
0.01,0018796,0.7159,345,381
0.01,0018797,0.8121,314,345
0.01,0018798,0.1908,152,139
0.01,0018799,0.0367,109,111
0.01,0018800,0.6344,424,338
0.01,0018801,0.2098,448,496
0.01,0018802,1.0000,0,37
0.01,0018803,0.8000,55,42
0.01,0018804,1.0000,97,134
0.01,0018805,0.6634,202,152
0.01,0018806,0.0827,254,262
0.01,0018807,0.7293,229,216
0.01,0018808,0.0769,13,13
0.01,0018809,0.0606,231,226
0.01,0018810,0.0532,188,186
0.01,0018811,0.7849,172,179
0.01,0018812,0.3559,236,293
0.01,0018813,0.4559,68,56
0.01,0018814,0.2854,466,481
0.01,0018815,0.8000,185,129
0.01,0018816,0.9549,953,44
0.01,0018817,0.7188,64,75
0.01,0018818,0.9820,111,2
0.01,0018819,0.0975,482,479
0.01,0018820,0.2647,238,233
0.01,0018821,0.2512,211,201
0.01,0018822,0.2635,444,444
0.01,0018823,0.3267,251,256
0.01,0018824,0.1370,343,365
0.01,0018825,0.7500,208,105
0.01,0018826,0.4119,454,387
0.01,0018827,0.0100,201,200
0.01,0018828,0.0681,543,540
0.01,0018829,0.0838,513,530
0.01,0018830,0.7507,377,265
0.01,0018831,0.7542,297,165
0.01,0018832,0.7407,243,116
0.01,0018833,0.7958,284,153
0.01,0018834,0.2628,331,321
0.01,0018835,0.5591,279,216
0.01,0018836,0.4779,362,268
0.01,0018837,0.1859,511,470
0.01,0018838,0.2617,554,524
0.01,0018839,0.7146,487,265
0.01,0018840,0.7532,231,142
0.01,0018841,0.0215,326,326
0.01,0018842,0.8157,445,160
0.01,0018843,0.2619,378,358
0.01,0018844,0.8468,457,178
0.01,0018845,0.6338,213,165
0.01,0018846,1.0000,0,7
0.01,0018847,0.7186,398,213
0.01,0018848,0.0603,199,202
0.01,0018849,0.2353,306,314
0.01,0018850,0.8095,294,186
0.01,0018851,0.9163,418,44
0.01,0018852,0.6914,269,204
0.01,0018853,0.1122,303,309
0.01,0018854,1.1600,75,109
0.01,0018855,0.5368,272,257
0.01,0018856,0.1049,448,482
0.01,0018857,0.5681,382,311
0.01,0018858,0.3942,378,402
0.01,0018859,0.7441,211,146
0.01,0018860,0.1739,276,300
0.01,0018861,0.5893,168,117
0.01,0018862,0.2326,473,494
0.01,0018863,0.2166,157,165
0.01,0018864,0.7739,230,107
0.01,0018865,0.7463,406,200
0.01,0018866,0.8608,79,32
0.01,0018867,0.4000,120,106
0.01,0018868,0.2581,310,300
0.01,0018869,0.6455,567,446
0.01,0018870,0.7795,458,219
0.01,0018871,0.7888,251,127
0.01,0018872,0.7425,334,193
0.01,0018873,0.1521,388,396
0.01,0018874,0.3616,224,231
0.01,0018875,0.7535,649,411
0.01,0018876,0.6091,486,497
0.01,0018877,0.7778,45,17
0.01,0018878,0.5789,114,105
0.01,0018879,0.7798,336,385
0.01,0018880,0.4244,271,238
0.01,0018881,0.7542,179,148
0.01,0018882,0.1762,227,230
0.01,0018883,0.5532,376,296
0.01,0018884,0.7872,47,46
0.01,0018885,0.8333,12,5
0.01,0018886,0.1577,355,350
0.01,0018887,0.2422,289,299
0.01,0018888,0.0542,166,168
0.01,0018889,0.2236,237,241
0.01,0018890,0.2727,308,314
0.01,0018891,0.6781,379,275
0.01,0018892,0.7686,484,229
0.01,0018893,0.0632,253,256
0.01,0018894,0.7306,193,132
0.01,0018895,0.1746,126,122
0.01,0018896,0.8451,142,81
0.01,0018897,0.8806,67,11
0.01,0018898,0.9255,322,34
0.01,0018899,0.3302,315,308
0.01,0018900,0.9160,476,54
0.01,0018901,0.1333,285,300
0.01,0018902,0.1977,172,171
0.01,0018903,0.7109,128,148
0.01,0018904,0.1503,153,166
0.01,0018905,0.5649,131,111
0.01,0018906,0.8774,106,20
0.01,0018907,0.5824,170,168
0.01,0018908,0.0787,432,434
0.01,0018909,0.1846,363,350
0.01,0018910,0.7500,284,186
0.01,0018911,0.9968,621,2
0.01,0018912,0.3755,269,243
0.01,0018913,0.0000,1,1
0.01,0018914,0.4356,202,198
0.01,0018915,0.8278,302,101
0.01,0018916,0.6209,422,330
0.01,0018917,0.1098,173,186
0.01,0018918,0.4858,352,235
0.01,0018919,0.4368,364,264
0.01,0018920,0.2528,178,177
0.01,0018921,0.6518,112,135
0.01,0018922,0.7194,139,102
0.01,0018923,0.5660,265,228
0.01,0018924,0.2314,363,347
0.01,0018925,0.0692,347,340
0.01,0018926,0.2320,306,314
0.01,0018927,0.3026,347,340
0.01,0018928,0.8391,373,266
0.01,0018929,0.2297,296,319
0.01,0018930,0.7764,492,205
0.01,0018931,0.2078,616,642
0.01,0018932,0.9348,230,245
0.01,0018933,0.7290,417,282
0.01,0018934,0.8957,230,39
0.01,0018935,1.0000,1,0
0.01,0018936,0.1640,372,382
0.01,0018937,0.3704,243,234
0.01,0018938,0.6862,290,307
0.01,0018939,0.8442,154,57
0.01,0018940,1.0000,135,0
0.01,0018941,0.2913,309,261
0.01,0018942,0.1121,107,111
0.01,0018943,0.2354,446,454
0.01,0018944,0.0615,585,577
0.01,0018945,0.9061,809,90
0.01,0018946,0.6347,375,326
0.01,0018947,0.7083,456,320
0.01,0018948,0.6004,508,470
0.01,0018949,0.6776,152,153
0.01,0018950,0.7154,369,312
0.02,0009059,0.1187,337,328
0.02,0009060,0.8333,252,103
0.02,0009061,0.5464,377,346
0.02,0009062,0.0149,201,203
0.02,0009063,0.1090,468,468
0.02,0009064,0.9665,627,23
0.02,0009065,0.6052,347,251
0.02,0009066,0.7292,325,174
0.02,0009067,1.0000,0,239
0.02,0009068,1.0000,0,231
0.02,0009069,0.1250,120,116
0.02,0010952,0.7194,253,196
0.02,0010953,0.6637,446,248
0.02,0010954,0.3084,214,223
0.02,0010955,1.0000,0,365
0.02,0010956,0.5618,267,326
0.02,0014623,0.2318,289,288
0.02,0014624,0.0215,186,185
0.02,0014625,0.1365,447,448
0.02,0014626,0.7704,135,83
0.02,0014627,0.8458,467,119
0.02,0014628,0.9862,145,2
0.02,0014629,0.0788,203,205
0.02,0014630,0.1134,238,234
0.02,0014631,0.8408,289,87
0.02,0014632,1.0000,0,35
0.02,0014633,0.9902,102,2
0.02,0014634,0.9282,432,36
0.02,0014635,0.9115,520,65
0.02,0014636,0.7361,341,223
0.02,0014637,0.2098,572,590
0.02,0014638,0.0560,232,226
0.02,0014640,1.0000,0,355
0.02,0018784,0.9048,105,14
0.02,0018785,0.2804,189,198
